stock,date,open,close,label_3,label_7,xg3,xg7,log3,log7,open3,close3,open7,close7
TWX,2016-10-13,79.9,79.4,hold,hold,hold,buy,hold,buy,79.56,79.24,87.12,87.16
TWX,2016-10-14,79.74,79.55,hold,buy,hold,buy,hold,buy,79.23,82.99,87.02,88.7
TWX,2016-10-17,79.03,78.84,hold,sell,buy,buy,hold,buy,83.31,89.48,88.97,88.3
TWX,2016-10-19,79.56,79.24,hold,hold,buy,buy,hold,buy,87.55,86.74,88.1,87.47
TWX,2016-10-20,79.23,82.99,hold,hold,buy,buy,hold,buy,87.12,87.16,88.45,88.99
TWX,2016-10-21,83.31,89.48,hold,buy,hold,hold,hold,buy,87.02,88.7,88.95,87.28
TWX,2016-10-24,87.55,86.74,hold,hold,hold,hold,hold,buy,88.97,88.3,87.36,86.42
TWX,2016-10-25,87.12,87.16,hold,hold,hold,hold,hold,buy,88.1,87.47,87.55,87.74
TWX,2016-10-26,87.02,88.7,hold,hold,hold,hold,hold,buy,88.45,88.99,87.81,87.87
TWX,2016-10-27,88.97,88.3,hold,hold,hold,hold,hold,buy,88.95,87.28,85.48,86.6
TWX,2016-10-28,88.1,87.47,hold,hold,hold,hold,hold,buy,87.36,86.42,86.56,86.33
TWX,2016-10-31,88.45,88.99,hold,hold,hold,hold,hold,buy,87.55,87.74,86.18,86.8
TWX,2016-11-02,88.95,87.28,buy,buy,hold,hold,hold,buy,87.81,87.87,86.78,86.8
TWX,2016-11-04,87.36,86.42,hold,hold,hold,hold,hold,buy,85.48,86.6,86.66,88.67
TWX,2016-11-07,87.55,87.74,buy,buy,hold,hold,hold,buy,86.56,86.33,88.65,88.95
TWX,2016-11-08,87.81,87.87,hold,hold,hold,hold,hold,buy,86.18,86.8,89.78,90.69
TWX,2016-11-09,85.48,86.6,hold,buy,hold,hold,hold,buy,86.78,86.8,90.64,91.35
TWX,2016-11-10,86.56,86.33,hold,hold,hold,buy,hold,buy,86.66,88.67,91.48,91.56
TWX,2016-11-11,86.18,86.8,hold,hold,hold,hold,hold,buy,88.65,88.95,91.53,92.33
TWX,2016-11-14,86.78,86.8,hold,hold,hold,hold,hold,buy,89.78,90.69,92.68,93.2
TWX,2016-11-15,86.66,88.67,hold,hold,hold,hold,hold,buy,90.64,91.35,,
TWX,2016-11-16,88.65,88.95,hold,hold,hold,buy,hold,buy,91.48,91.56,,
TWX,2016-11-17,89.78,90.69,hold,hold,hold,hold,hold,buy,91.53,92.33,,
TWX,2016-11-18,90.64,91.35,sell,sell,hold,hold,hold,buy,92.68,93.2,,
TWX,2016-11-21,91.48,91.56,hold,sell,hold,hold,hold,buy,,,,
TWX,2016-11-22,91.53,92.33,hold,hold,hold,hold,hold,buy,,,,
TWX,2016-11-25,92.68,93.2,sell,sell,hold,hold,hold,buy,,,,
VZ,2013-10-07,46.88,47.29,hold,sell,hold,hold,hold,buy,46.81,47.09,49.36,50.01
VZ,2013-10-08,46.72,46.05,buy,hold,hold,hold,hold,buy,46.7899,46.81,50.01,50.58
VZ,2013-10-09,46.21,46.2,hold,hold,hold,buy,hold,buy,46.8,46.32,50.56,51.14
VZ,2013-10-11,46.81,47.09,hold,sell,hold,hold,hold,buy,48.57,48.9,51.03,50.82
VZ,2013-10-14,46.7899,46.81,hold,hold,buy,buy,hold,buy,49.36,50.01,51.04,50.42
